eKE/eV,Raw,eKE/eV,Fit,eKE/eV,Retrieved
1.38941,0.59653,4.83,4.55E-12,4.63,2.57E-10
1.3863,0.58,4.84,3.94E-12,4.64,2.27E-10
1.3832,0.5634,4.85,3.45E-12,4.65,2.01E-10
1.3801,0.58377,4.86,3.02E-12,4.66,1.78E-10
1.37701,0.60148,4.87,2.63E-12,4.67,1.57E-10
1.37392,0.59583,4.88,2.31E-12,4.68,1.39E-10
1.37084,0.57359,4.89,2.02E-12,4.69,1.23E-10
1.36777,0.59068,4.9,1.75E-12,4.7,1.09E-10
1.3647,0.60645,4.91,1.52E-12,4.71,9.60E-11
1.36164,0.5945,4.92,1.34E-12,4.72,8.47E-11
1.35858,0.59433,4.93,1.15E-12,4.73,7.48E-11
1.35554,0.57602,4.94,9.83E-13,4.74,6.60E-11
1.3525,0.61913,4.95,8.30E-13,4.75,5.82E-11
1.34946,0.6176,4.96,7.02E-13,4.76,5.13E-11
1.34643,0.57115,4.97,5.97E-13,4.77,4.52E-11
1.34341,0.60326,4.98,5.20E-13,4.78,3.99E-11
1.34039,0.59463,4.99,4.39E-13,4.79,3.51E-11
1.33738,0.60573,5,3.82E-13,4.8,3.09E-11
1.33437,0.64376,,,4.81,2.72E-11
1.33138,0.6394,,,4.82,2.39E-11
1.32838,0.63431,,,4.83,2.11E-11
1.3254,0.60785,,,4.84,1.85E-11
1.32242,0.64617,,,4.85,1.63E-11
1.31944,0.64249,,,4.86,1.43E-11
1.31647,0.63234,,,4.87,1.26E-11
1.31351,0.66089,,,4.88,1.10E-11
1.31056,0.60183,,,4.89,9.69E-12
1.30761,0.65565,,,4.9,8.50E-12
1.30466,0.63388,,,4.91,7.46E-12
1.30172,0.64964,,,4.92,6.54E-12
1.29879,0.65168,,,4.93,5.74E-12
1.29587,0.68205,,,4.94,5.03E-12
1.29295,0.64923,,,4.95,4.40E-12
1.29003,0.67096,,,4.96,3.86E-12
1.28712,0.66355,,,4.97,3.38E-12
1.28422,0.67514,,,4.98,2.96E-12
1.28132,0.68311,,,4.99,2.59E-12
1.27843,0.67052,,,5,2.26E-12
1.27555,0.68513,,,,
1.27267,0.66289,,,,
1.26979,0.65978,,,,
1.26693,0.67371,,,,
1.26406,0.72928,,,,
1.26121,0.69651,,,,
1.25836,0.70164,,,,
1.25551,0.74638,,,,
1.25267,0.71943,,,,
1.24984,0.68262,,,,
1.24701,0.68699,,,,
1.24419,0.70192,,,,
1.24137,0.70333,,,,
1.23856,0.69642,,,,
1.23576,0.70538,,,,
1.23296,0.72425,,,,
1.23016,0.73711,,,,
1.22737,0.67684,,,,
1.22459,0.7347,,,,
1.22181,0.69255,,,,
1.21904,0.76677,,,,
1.21627,0.75369,,,,
1.21351,0.73133,,,,
1.21076,0.73278,,,,
1.20801,0.77829,,,,
1.20526,0.78448,,,,
1.20252,0.71697,,,,
1.19979,0.76582,,,,
1.19706,0.74708,,,,
1.19434,0.79851,,,,
1.19162,0.73674,,,,
1.18891,0.74133,,,,
1.1862,0.72395,,,,
1.1835,0.75921,,,,
1.1808,0.76544,,,,
1.17811,0.78037,,,,
1.17543,0.75342,,,,
1.17275,0.73428,,,,
1.17007,0.80167,,,,
1.1674,0.7515,,,,
1.16474,0.78807,,,,
1.16208,0.76964,,,,
1.15942,0.72951,,,,
1.15677,0.74458,,,,
1.15413,0.81598,,,,
1.15149,0.73139,,,,
1.14886,0.78366,,,,
1.14623,0.77145,,,,
1.14361,0.76161,,,,
1.14099,0.78989,,,,
1.13837,0.78573,,,,
1.13577,0.7946,,,,
1.13316,0.77655,,,,
1.13057,0.80997,,,,
1.12797,0.82712,,,,
1.12538,0.81312,,,,
1.1228,0.85585,,,,
1.12022,0.87895,,,,
1.11765,0.82944,,,,
1.11508,0.75076,,,,
1.11252,0.77377,,,,
1.10996,0.76946,,,,
1.10741,0.86336,,,,
1.10486,0.83083,,,,
1.10232,0.77811,,,,
1.09978,0.84744,,,,
1.09725,0.82475,,,,
1.09472,0.78767,,,,
1.0922,0.80266,,,,
1.08968,0.84725,,,,
1.08716,0.86917,,,,
1.08465,0.80646,,,,
1.08215,0.82753,,,,
1.07965,0.89205,,,,
1.07716,0.79408,,,,
1.07467,0.87841,,,,
1.07218,0.80996,,,,
1.0697,0.83208,,,,
1.06722,0.8208,,,,
1.06475,0.85248,,,,
1.06229,0.84807,,,,
1.05983,0.85315,,,,
1.05737,0.89112,,,,
1.05492,0.86161,,,,
1.05247,0.8181,,,,
1.05003,0.85272,,,,
1.04759,0.83343,,,,
1.04516,0.8551,,,,
1.04273,0.83398,,,,
1.0403,0.82241,,,,
1.03788,0.80553,,,,
1.03547,0.89595,,,,
1.03306,0.8906,,,,
1.03065,0.84988,,,,
1.02825,0.87982,,,,
1.02586,0.88592,,,,
1.02346,0.90892,,,,
1.02108,0.84388,,,,
1.01869,0.86866,,,,
1.01631,0.8989,,,,
1.01394,0.85942,,,,
1.01157,0.89243,,,,
1.0092,0.86087,,,,
1.00684,0.86789,,,,
1.00449,0.902,,,,
1.00214,0.88924,,,,
0.99979,0.9045,,,,
0.99745,0.90438,,,,
0.99511,0.89699,,,,
0.99277,0.82129,,,,
0.99044,0.93777,,,,
0.98812,0.87647,,,,
0.9858,0.84789,,,,
0.98348,0.85407,,,,
0.98117,0.87681,,,,
0.97886,0.8499,,,,
0.97655,0.84596,,,,
0.97425,0.87989,,,,
0.97196,0.90931,,,,
0.96967,0.90173,,,,
0.96738,0.91829,,,,
0.9651,0.92931,,,,
0.96282,0.92545,,,,
0.96055,0.88791,,,,
0.95828,0.92515,,,,
0.95601,0.92312,,,,
0.95375,0.93705,,,,
0.95149,0.9096,,,,
0.94924,0.91601,,,,
0.94699,0.90164,,,,
0.94475,0.93551,,,,
0.94251,0.8936,,,,
0.94027,0.93232,,,,
0.93804,0.93405,,,,
0.93581,0.9291,,,,
0.93359,0.91266,,,,
0.93137,0.90381,,,,
0.92915,0.9285,,,,
0.92694,0.95328,,,,
0.92473,0.84336,,,,
0.92253,0.94233,,,,
0.92033,0.91121,,,,
0.91813,0.89934,,,,
0.91594,0.90293,,,,
0.91375,0.91042,,,,
0.91157,0.9082,,,,
0.90939,0.88354,,,,
0.90722,0.90567,,,,
0.90504,0.92691,,,,
0.90288,0.93744,,,,
0.90071,0.87825,,,,
0.89855,0.96252,,,,
0.8964,0.91499,,,,
0.89425,0.92357,,,,
0.8921,0.9599,,,,
0.88995,0.86251,,,,
0.88782,0.96241,,,,
0.88568,0.91243,,,,
0.88355,0.93104,,,,
0.88142,0.8828,,,,
0.87929,0.94043,,,,
0.87717,0.88301,,,,
0.87506,0.93683,,,,
0.87294,0.89628,,,,
0.87084,0.9221,,,,
0.86873,0.92175,,,,
0.86663,0.90724,,,,
0.86453,0.89166,,,,
0.86244,0.93388,,,,
0.86035,0.94167,,,,
0.85826,0.92809,,,,
0.85618,0.94508,,,,
0.8541,0.93452,,,,
0.85203,0.87475,,,,
0.84995,0.94611,,,,
0.84789,0.8995,,,,
0.84582,0.91142,,,,
0.84376,0.95639,,,,
0.84171,0.96328,,,,
0.83965,0.91842,,,,
0.83761,0.91904,,,,
0.83556,0.91238,,,,
0.83352,0.95461,,,,
0.83148,0.91044,,,,
0.82945,0.90372,,,,
0.82742,0.95034,,,,
0.82539,0.91745,,,,
0.82337,0.87497,,,,
0.82135,0.92915,,,,
0.81933,0.92765,,,,
0.81732,0.9536,,,,
0.81531,0.94896,,,,
0.8133,0.95595,,,,
0.8113,0.89395,,,,
0.8093,0.92852,,,,
0.80731,0.93977,,,,
0.80532,0.95318,,,,
0.80333,0.97947,,,,
0.80135,0.87731,,,,
0.79937,0.95613,,,,
0.79739,0.90301,,,,
0.79541,0.96492,,,,
0.79344,0.93535,,,,
0.79148,0.93809,,,,
0.78952,0.95382,,,,
0.78756,0.92189,,,,
0.7856,0.942,,,,
0.78365,0.89142,,,,
0.7817,0.97259,,,,
0.77975,0.9339,,,,
0.77781,0.96618,,,,
0.77587,0.92076,,,,
0.77394,0.94654,,,,
0.772,0.92841,,,,
0.77007,0.94988,,,,
0.76815,0.95597,,,,
0.76623,0.96318,,,,
0.76431,0.89619,,,,
0.76239,0.93439,,,,
0.76048,0.90268,,,,
0.75857,0.95104,,,,
0.75667,0.9661,,,,
0.75477,0.94433,,,,
0.75287,0.99188,,,,
0.75097,0.94988,,,,
0.74908,0.97851,,,,
0.74719,0.95209,,,,
0.74531,0.88047,,,,
0.74343,0.91928,,,,
0.74155,0.88469,,,,
0.73967,0.9123,,,,
0.7378,0.94908,,,,
0.73593,0.87682,,,,
0.73407,0.93531,,,,
0.7322,0.89928,,,,
0.73035,0.90999,,,,
0.72849,0.90585,,,,
0.72664,0.91545,,,,
0.72479,0.87797,,,,
0.72294,0.97389,,,,
0.7211,0.90293,,,,
0.71926,0.93107,,,,
0.71742,0.91417,,,,
0.71559,0.92503,,,,
0.71376,0.9185,,,,
0.71193,0.91079,,,,
0.71011,0.90887,,,,
0.70829,0.95479,,,,
0.70647,0.89213,,,,
0.70465,0.87611,,,,
0.70284,0.86471,,,,
0.70104,0.92732,,,,
0.69923,0.91361,,,,
0.69743,0.82909,,,,
0.69563,0.88369,,,,
0.69383,1,,,,
0.69204,0.90688,,,,
0.69025,0.88113,,,,
0.68846,0.88264,,,,
0.68668,0.93659,,,,
0.6849,0.9,,,,
0.68312,0.8573,,,,
0.68135,0.89111,,,,
0.67958,0.90584,,,,
0.67781,0.91821,,,,
0.67604,0.89209,,,,
0.67428,0.84176,,,,
0.67252,0.89756,,,,
0.67077,0.9124,,,,
0.66901,0.84123,,,,
0.66726,0.89245,,,,
0.66551,0.87694,,,,
0.66377,0.87478,,,,
0.66203,0.82746,,,,
0.66029,0.84354,,,,
0.65856,0.84497,,,,
0.65682,0.95436,,,,
0.65509,0.90806,,,,
0.65337,0.87267,,,,
0.65164,0.85073,,,,
0.64992,0.89417,,,,
0.6482,0.87094,,,,
0.64649,0.83648,,,,
0.64478,0.88382,,,,
0.64307,0.87786,,,,
0.64136,0.92917,,,,
0.63966,0.88458,,,,
0.63796,0.87607,,,,
0.63626,0.80495,,,,
0.63457,0.84894,,,,
0.63287,0.87424,,,,
0.63118,0.8581,,,,
0.6295,0.7751,,,,
0.62782,0.90265,,,,
0.62613,0.89785,,,,
0.62446,0.88669,,,,
0.62278,0.82982,,,,
0.62111,0.91383,,,,
0.61944,0.80969,,,,
0.61777,0.8085,,,,
0.61611,0.87628,,,,
0.61445,0.85984,,,,
0.61279,0.84462,,,,
0.61114,0.91023,,,,
0.60948,0.78058,,,,
0.60783,0.81924,,,,
0.60619,0.82319,,,,
0.60454,0.81552,,,,
0.6029,0.82336,,,,
0.60126,0.82473,,,,
0.59963,0.79104,,,,
0.59799,0.89775,,,,
0.59636,0.83017,,,,
0.59473,0.83678,,,,
0.59311,0.83032,,,,
0.59149,0.85266,,,,
0.58987,0.757,,,,
0.58825,0.80688,,,,
0.58663,0.78189,,,,
0.58502,0.78055,,,,
0.58341,0.84392,,,,
0.58181,0.76727,,,,
0.5802,0.83082,,,,
0.5786,0.85476,,,,
0.577,0.87745,,,,
0.57541,0.84028,,,,
0.57381,0.79365,,,,
0.57222,0.82302,,,,
0.57064,0.78825,,,,
0.56905,0.81502,,,,
0.56747,0.78817,,,,
0.56589,0.80023,,,,
0.56431,0.79347,,,,
0.56274,0.83256,,,,
0.56116,0.83798,,,,
0.55959,0.78115,,,,
0.55803,0.76345,,,,
0.55646,0.80681,,,,
0.5549,0.76868,,,,
0.55334,0.78357,,,,
0.55178,0.77394,,,,
0.55023,0.79708,,,,
0.54868,0.81072,,,,
0.54713,0.79284,,,,
0.54558,0.78177,,,,
0.54404,0.75278,,,,
0.54249,0.75125,,,,
0.54096,0.77043,,,,
0.53942,0.76754,,,,
0.53788,0.65798,,,,
0.53635,0.72427,,,,
0.53482,0.80605,,,,
0.5333,0.74612,,,,
0.53177,0.72782,,,,
0.53025,0.75414,,,,
0.52873,0.7134,,,,
0.52721,0.77061,,,,
0.5257,0.79432,,,,
0.52419,0.75203,,,,
0.52268,0.76734,,,,
0.52117,0.83486,,,,
0.51967,0.78113,,,,
0.51817,0.7159,,,,
0.51667,0.79217,,,,
0.51517,0.79629,,,,
0.51367,0.79616,,,,
0.51218,0.72055,,,,
0.51069,0.74739,,,,
0.5092,0.77432,,,,
0.50772,0.73694,,,,
0.50624,0.71376,,,,
0.50476,0.7063,,,,
0.50328,0.7362,,,,
0.5018,0.73451,,,,
0.50033,0.72848,,,,
0.49886,0.74555,,,,
0.49739,0.69031,,,,
0.49592,0.70882,,,,
0.49446,0.71431,,,,
0.493,0.70528,,,,
0.49154,0.70933,,,,
0.49008,0.75424,,,,
0.48863,0.66924,,,,
0.48718,0.69519,,,,
0.48573,0.70804,,,,
0.48428,0.69302,,,,
0.48283,0.69413,,,,
0.48139,0.66726,,,,
0.47995,0.75832,,,,
0.47851,0.72112,,,,
0.47708,0.72967,,,,
0.47564,0.72046,,,,
0.47421,0.76022,,,,
0.47278,0.77482,,,,
0.47135,0.69562,,,,
0.46993,0.64153,,,,
0.46851,0.64405,,,,
0.46709,0.68848,,,,
0.46567,0.6611,,,,
0.46425,0.7087,,,,
0.46284,0.65719,,,,
0.46143,0.71096,,,,
0.46002,0.68343,,,,
0.45862,0.71171,,,,
0.45721,0.67198,,,,
0.45581,0.6488,,,,
0.45441,0.72726,,,,
0.45301,0.62501,,,,
0.45162,0.71434,,,,
0.45022,0.6453,,,,
0.44883,0.67536,,,,
0.44744,0.68714,,,,
0.44606,0.66677,,,,
0.44467,0.61103,,,,
0.44329,0.62122,,,,
0.44191,0.67149,,,,
0.44053,0.67255,,,,
0.43916,0.62881,,,,
0.43778,0.67623,,,,
0.43641,0.68505,,,,
0.43504,0.66595,,,,
0.43367,0.65768,,,,
0.43231,0.60266,,,,
0.43095,0.60673,,,,
0.42959,0.67955,,,,
0.42823,0.71504,,,,
0.42687,0.54222,,,,
0.42552,0.69376,,,,
0.42416,0.69328,,,,
0.42281,0.66446,,,,
0.42147,0.63239,,,,
0.42012,0.61443,,,,
0.41878,0.62015,,,,
0.41743,0.58151,,,,
0.41609,0.56338,,,,
0.41476,0.64534,,,,
0.41342,0.61133,,,,
0.41209,0.55648,,,,
0.41076,0.63402,,,,
0.40943,0.62542,,,,
0.4081,0.63281,,,,
0.40678,0.59851,,,,
0.40545,0.64766,,,,
0.40413,0.63902,,,,
0.40281,0.61746,,,,
0.4015,0.65072,,,,
0.40018,0.64528,,,,
0.39887,0.61876,,,,
0.39756,0.61811,,,,
0.39625,0.60608,,,,
0.39494,0.61192,,,,
0.39364,0.62266,,,,
0.39233,0.63996,,,,
0.39103,0.58701,,,,
0.38973,0.59776,,,,
0.38844,0.63151,,,,
0.38714,0.56021,,,,
0.38585,0.55616,,,,
0.38456,0.56033,,,,
0.38327,0.58597,,,,
0.38198,0.61996,,,,
0.3807,0.55967,,,,
0.37942,0.61694,,,,
0.37814,0.62788,,,,
0.37686,0.58062,,,,
0.37558,0.59986,,,,
0.37431,0.62584,,,,
0.37303,0.55161,,,,
0.37176,0.55081,,,,
0.37049,0.55335,,,,
0.36923,0.58782,,,,
0.36796,0.52819,,,,
0.3667,0.55093,,,,
0.36544,0.57205,,,,
0.36418,0.55605,,,,
0.36292,0.52307,,,,
0.36166,0.56968,,,,
0.36041,0.5519,,,,
0.35916,0.53067,,,,
0.35791,0.54173,,,,
0.35666,0.56989,,,,
0.35541,0.55713,,,,
0.35417,0.57684,,,,
0.35293,0.54347,,,,
0.35169,0.54605,,,,
0.35045,0.51597,,,,
0.34921,0.53918,,,,
0.34798,0.5642,,,,
0.34674,0.58238,,,,
0.34551,0.58332,,,,
0.34428,0.56518,,,,
0.34306,0.5192,,,,
0.34183,0.54787,,,,
0.34061,0.51391,,,,
0.33939,0.56359,,,,
0.33817,0.59771,,,,
0.33695,0.50414,,,,
0.33573,0.56633,,,,
0.33452,0.45309,,,,
0.33331,0.51539,,,,
0.33209,0.49333,,,,
0.33089,0.4553,,,,
0.32968,0.52852,,,,
0.32847,0.51345,,,,
0.32727,0.49478,,,,
0.32607,0.4654,,,,
0.32487,0.53555,,,,
0.32367,0.48653,,,,
0.32247,0.52304,,,,
0.32128,0.50423,,,,
0.32009,0.48179,,,,
0.3189,0.48438,,,,
0.31771,0.48878,,,,
0.31652,0.5238,,,,
0.31534,0.45796,,,,
0.31415,0.47318,,,,
0.31297,0.43779,,,,
0.31179,0.49652,,,,
0.31061,0.50825,,,,
0.30943,0.45093,,,,
0.30826,0.4772,,,,
0.30709,0.48713,,,,
0.30592,0.45873,,,,
0.30475,0.47782,,,,
0.30358,0.48415,,,,
0.30241,0.46478,,,,
0.30125,0.45086,,,,
0.30008,0.48852,,,,
0.29892,0.43951,,,,
0.29776,0.44769,,,,
0.29661,0.44477,,,,
0.29545,0.45113,,,,
0.2943,0.52632,,,,
0.29314,0.44901,,,,
0.29199,0.44795,,,,
0.29085,0.45998,,,,
0.2897,0.40836,,,,
0.28855,0.44851,,,,
0.28741,0.46249,,,,
0.28627,0.45769,,,,
0.28513,0.44156,,,,
0.28399,0.42347,,,,
0.28285,0.42995,,,,
0.28171,0.4706,,,,
0.28058,0.42206,,,,
0.27945,0.46477,,,,
0.27832,0.39886,,,,
0.27719,0.3958,,,,
0.27606,0.46554,,,,
0.27494,0.45493,,,,
0.27381,0.3712,,,,
0.27269,0.43359,,,,
0.27157,0.3997,,,,
0.27045,0.39663,,,,
0.26933,0.36641,,,,
0.26822,0.44097,,,,
0.26711,0.41073,,,,
0.26599,0.39402,,,,
0.26488,0.3792,,,,
0.26377,0.42896,,,,
0.26267,0.47894,,,,
0.26156,0.41898,,,,
0.26046,0.42185,,,,
0.25935,0.43264,,,,
0.25825,0.4514,,,,
0.25715,0.40676,,,,
0.25606,0.42556,,,,
0.25496,0.35476,,,,
0.25386,0.35756,,,,
0.25277,0.3804,,,,
0.25168,0.40134,,,,
0.25059,0.41233,,,,
0.2495,0.40927,,,,
0.24842,0.40822,,,,
0.24733,0.34235,,,,
0.24625,0.38583,,,,
0.24517,0.36235,,,,
0.24409,0.42039,,,,
0.24301,0.37439,,,,
0.24193,0.36303,,,,
0.24085,0.38864,,,,
0.23978,0.38552,,,,
0.23871,0.40307,,,,
0.23764,0.34196,,,,
0.23657,0.41354,,,,
0.2355,0.35007,,,,
0.23443,0.34895,,,,
0.23337,0.36249,,,,
0.2323,0.35301,,,,
0.23124,0.38564,,,,
0.23018,0.39521,,,,
0.22912,0.37306,,,,
0.22807,0.38268,,,,
0.22701,0.35825,,,,
0.22596,0.33368,,,,
0.2249,0.33258,,,,
0.22385,0.36376,,,,
0.2228,0.30015,,,,
0.22176,0.40295,,,,
0.22071,0.35429,,,,
0.21966,0.36638,,,,
0.21862,0.337,,,,
0.21758,0.36232,,,,
0.21654,0.36139,,,,
0.2155,0.35826,,,,
0.21446,0.31518,,,,
0.21343,0.38317,,,,
0.21239,0.30635,,,,
0.21136,0.35466,,,,
0.21033,0.39435,,,,
0.2093,0.3303,,,,
0.20827,0.34981,,,,
0.20724,0.36721,,,,
0.20621,0.30919,,,,
0.20519,0.31971,,,,
0.20417,0.30954,,,,
0.20315,0.35499,,,,
0.20213,0.32396,,,,
0.20111,0.36993,,,,
0.20009,0.38107,,,,
