eKE/eV,Raw,eKE/eV,Fit,eKE/eV,Retrieved
3.07544,2.96E-04,1.3,0.67277,1.1,0.85727
3.06826,8.89E-04,1.31,0.66133,1.11,0.85489
3.06111,0.00208,1.32,0.64316,1.12,0.85224
3.05397,8.94E-04,1.33,0.64503,1.13,0.84931
3.04686,5.98E-04,1.34,0.62072,1.14,0.84611
3.03976,0,1.35,0.61268,1.15,0.84263
3.03268,3.00E-04,1.36,0.60124,1.16,0.83888
3.02562,3.01E-04,1.37,0.59875,1.17,0.83487
3.01858,0.00121,1.38,0.57956,1.18,0.8306
3.01156,3.03E-04,1.39,0.58073,1.19,0.82607
3.00456,0.00121,1.4,0.56857,1.2,0.82129
2.99758,3.05E-04,1.41,0.56002,1.21,0.81626
2.99062,0.00153,1.42,0.54406,1.22,0.81099
2.98367,9.19E-04,1.43,0.53411,1.23,0.80548
2.97675,9.21E-04,1.44,0.53634,1.24,0.79974
2.96984,0.00154,1.45,0.51619,1.25,0.79377
2.96295,9.26E-04,1.46,0.5067,1.26,0.78758
2.95608,0.00124,1.47,0.49536,1.27,0.78118
2.94923,0.00124,1.48,0.48919,1.28,0.77456
2.9424,6.22E-04,1.49,0.47642,1.29,0.76775
2.93558,0.00187,1.5,0.46579,1.3,0.76073
2.92879,0.00125,1.51,0.45052,1.31,0.75353
2.92201,6.27E-04,1.52,0.44602,1.32,0.74614
2.91525,0.00126,1.53,0.43212,1.33,0.73858
2.90851,9.46E-04,1.54,0.42136,1.34,0.73084
2.90178,0.00126,1.55,0.41326,1.35,0.72295
2.89508,3.17E-04,1.56,0.40338,1.36,0.7149
2.88839,0.00159,1.57,0.3878,1.37,0.70669
2.88172,0.00127,1.58,0.38095,1.38,0.69835
2.87506,0.00128,1.59,0.37538,1.39,0.68988
2.86843,0.00128,1.6,0.36097,1.4,0.68127
2.86181,0.00193,1.61,0.3574,1.41,0.67255
2.85521,9.66E-04,1.62,0.34384,1.42,0.66371
2.84863,0.00194,1.63,0.33528,1.43,0.65477
2.84206,0.0013,1.64,0.32467,1.44,0.64574
2.83552,0.00227,1.65,0.31822,1.45,0.63661
2.82898,0.00163,1.66,0.306,1.46,0.6274
2.82247,9.79E-04,1.67,0.30189,1.47,0.61812
2.81598,0.00131,1.68,0.29086,1.48,0.60876
2.8095,9.85E-04,1.69,0.27948,1.49,0.59935
2.80303,0.00165,1.7,0.27485,1.5,0.58988
2.79659,0.00198,1.71,0.26716,1.51,0.58037
2.79016,0.00165,1.72,0.25934,1.52,0.57082
2.78375,9.95E-04,1.73,0.24924,1.53,0.56123
2.77736,3.33E-04,1.74,0.24219,1.54,0.55162
2.77098,0.002,1.75,0.23802,1.55,0.54199
2.76462,0.00134,1.76,0.23052,1.56,0.53235
2.75827,0.00134,1.77,0.22459,1.57,0.52271
2.75195,0.00235,1.78,0.21221,1.58,0.51307
2.74564,0.00438,1.79,0.208,1.59,0.50343
2.73934,0.00338,1.8,0.2036,1.6,0.49381
2.73306,0.00169,1.81,0.19573,1.61,0.48421
2.7268,0.00136,1.82,0.18917,1.62,0.47464
2.72056,0.0017,1.83,0.1813,1.63,0.4651
2.71433,0.00273,1.84,0.17978,1.64,0.4556
2.70811,0.00205,1.85,0.17228,1.65,0.44614
2.70192,0.00412,1.86,0.16725,1.66,0.43673
2.69574,0.00172,1.87,0.16029,1.67,0.42737
2.68957,0.00207,1.88,0.15581,1.68,0.41808
2.68342,0.00207,1.89,0.15052,1.69,0.40885
2.67729,0.00347,1.9,0.1455,1.7,0.39968
2.67117,0.00348,1.91,0.13999,1.71,0.39059
2.66507,0.00314,1.92,0.13487,1.72,0.38158
2.65899,0.00419,1.93,0.12932,1.73,0.37265
2.65292,0.0028,1.94,0.12575,1.74,0.36381
2.64686,0.00351,1.95,0.12058,1.75,0.35506
2.64082,0.00282,1.96,0.11663,1.76,0.3464
2.6348,0.00424,1.97,0.11221,1.77,0.33784
2.62879,0.00319,1.98,0.1084,1.78,0.32938
2.6228,0.00497,1.99,0.10317,1.79,0.32102
2.61682,0.00462,2,0.09991,1.8,0.31277
2.61086,0.00428,2.01,0.0952,1.81,0.30463
2.60492,0.00429,2.02,0.09203,1.82,0.2966
2.59899,0.00574,2.03,0.08869,1.83,0.28868
2.59307,0.00539,2.04,0.08433,1.84,0.28088
2.58717,0.00504,2.05,0.08257,1.85,0.2732
2.58128,0.00614,2.06,0.07814,1.86,0.26564
2.57541,0.00435,2.07,0.07622,1.87,0.2582
2.56956,0.00581,2.08,0.07255,1.88,0.25089
2.56372,0.00473,2.09,0.0695,1.89,0.2437
2.55789,0.00657,2.1,0.06742,1.9,0.23664
2.55208,0.00585,2.11,0.06394,1.91,0.2297
2.54628,0.00954,2.12,0.06116,1.92,0.22289
2.5405,0.00478,2.13,0.05857,1.93,0.21621
2.53473,0.00627,2.14,0.05656,1.94,0.20967
2.52898,0.00739,2.15,0.05411,1.95,0.20325
2.52324,0.00667,2.16,0.05145,1.96,0.19696
2.51752,0.00929,2.17,0.04947,1.97,0.1908
2.51181,0.00968,2.18,0.04718,1.98,0.18477
2.50612,0.00859,2.19,0.04522,1.99,0.17887
2.50044,0.00711,2.2,0.04347,2,0.1731
2.49477,0.00826,2.21,0.04157,2.01,0.16746
2.48912,0.01091,2.22,0.03976,2.02,0.16195
2.48348,0.0083,2.23,0.03817,2.03,0.15657
2.47786,0.01021,2.24,0.0365,2.04,0.15132
2.47225,0.00986,2.25,0.0344,2.05,0.14619
2.46666,0.00874,2.26,0.03301,2.06,0.14119
2.46108,0.01181,2.27,0.03136,2.07,0.13631
2.45551,0.01031,2.28,0.02992,2.08,0.13156
2.44996,0.00995,2.29,0.02882,2.09,0.12693
2.44442,0.01228,2.3,0.02688,2.1,0.12242
2.43889,0.01154,2.31,0.02596,2.11,0.11804
2.43338,0.01427,2.32,0.02481,2.12,0.11377
